Question, Option A, Option B, Option C, Option D, Correct Answer,Language,category,difficulty,relation
"How do you say ""where is the bus stop?"" in Dutch?", Waar is de bushalte?, Hoe gaat het met jou?, Wat is je naam?, Wanneer gaan we eten?, Waar is de bushalte?,Dutch,Vocabulary,Easy,Travel
"What is the Dutch word for ""book""?", Boek, Kaart, Pen, Tijdschrift, Boek,Dutch,Vocabulary,Easy,Objects
"Translate ""water"" into Dutch.", Water, Brood, Melk, Sap, Water,Dutch,Vocabulary,Easy,Elements
"What does ""vriend"" mean in English?", Friend, Brother, Sister, Parent, Friend,Dutch,Vocabulary,Easy,Relationships
"What is the Dutch word for ""to sleep""?", Slapen, Eten, Drinken, Lezen, Slapen,Dutch,Vocabulary,Easy,Actions
"Translate ""to run"" into Dutch.", Rennen, Lopen, Springen, Fietsen, Rennen,Dutch,Vocabulary,Easy,Actions
"What does ""eten"" mean in English?", To eat, To drink, To sleep, To run, To eat,Dutch,Vocabulary,Easy,Food
"What is the Dutch word for ""teacher""?", Leraar, Dokter, Politieagent, Bankier, Leraar,Dutch,Vocabulary,Easy,Profession
"Translate ""sun"" into Dutch.", Zon, Maan, Ster, Aarde, Zon,Dutch,Vocabulary,Easy,Nature
"How would you say ""excuse me"" in Dutch?", Excuseer me, Hallo, Alsjeblieft, Bedankt, Excuseer me,Dutch,Vocabulary,Easy,Politeness
"What is the Dutch word for ""happy""?", Blij, Verdrietig, Boos, Moe, Blij,Dutch,Vocabulary,Easy,Emotions
"Translate ""tree"" into Dutch.", Boom, Huis, Auto, Fiets, Boom,Dutch,Vocabulary,Easy,Nature
"What does ""eten"" mean in English?", To eat, To drink, To sleep, To run, To eat,Dutch,Vocabulary,Easy,Food
"How do you say ""please"" in Dutch?", Alsjeblieft, Dank je, Sorry, Hallo, Alsjeblieft,Dutch,Vocabulary,Easy,Politeness
"What is the Dutch word for ""weekend""?", Weekend, Weekdag, Vakantie, Feestdag, Weekend,Dutch,Vocabulary,Easy,Time
"Translate ""to drink"" into Dutch.", Drinken, Eten, Slapen, Lezen, Drinken,Dutch,Vocabulary,Easy,Actions
"What does ""fiets"" mean in English?", Bicycle, Car, Bus, Train, Bicycle,Dutch,Vocabulary,Easy,Transport
"How would you say ""I need help"" in Dutch?", Ik heb hulp nodig, Ik ben moe, Ik wil eten, Ik ben verdrietig, Ik heb hulp nodig,Dutch,Vocabulary,Easy,Assistance
"What is the Dutch word for ""hello""?", Hallo, Dag, Goedemorgen, Hoi, Hallo,Dutch,Vocabulary,Easy,Greetings
"Translate ""apple"" into Dutch.", Appel, Peer, Banaan, Sinaasappel, Appel,Dutch,Vocabulary,Easy,Food
"How do you say ""yes"" in Dutch?", Ja, Nee, Misschien, Dank je, Ja,Dutch,Vocabulary,Easy,Responses
"What is the Dutch word for ""goodbye""?", Tot ziens, Hallo, Dag, Goedenavond, Tot ziens,Dutch,Vocabulary,Easy,Greetings
"Translate ""book"" into Dutch.", Boek, Tafel, Stoel, Bank, Boek,Dutch,Vocabulary,Easy,Objects
"How would you say ""thank you"" in Dutch?", Dank je, Alsjeblieft, Sorry, Goedemorgen, Dank je,Dutch,Vocabulary,Easy,Politeness
"What is the Dutch word for ""mother""?", Moeder, Vader, Zus, Broer, Moeder,Dutch,Vocabulary,Easy,Family
"Translate ""cat"" into Dutch.", Kat, Hond, Vogel, Vis, Kat,Dutch,Vocabulary,Easy,Animal
"What does ""lekker"" mean in English?", Tasty, Angry, Sad, Happy, Tasty,Dutch,Vocabulary,Easy,Descriptive
"What is the Dutch word for ""house""?", Huis, Auto, Fiets, Boot, Huis,Dutch,Vocabulary,Easy,Home
"Translate ""yes"" into Dutch.", Ja, Nee, Misschien, Dank je, Ja,Dutch,Vocabulary,Easy,Responses
"How do you say ""good morning"" in Dutch?", Goedemorgen, Goedemiddag, Goedenavond, Hallo, Goedemorgen,Dutch,Vocabulary,Easy,Greetings
"What is the Dutch word for ""father""?", Vader, Moeder, Broer, Zus, Vader,Dutch,Vocabulary,Easy,Family
"Translate ""bicycle"" into Dutch.", Fiets, Auto, Bus, Trein, Fiets,Dutch,Vocabulary,Easy,Transport
"How would you say ""please"" in Dutch?", Alsjeblieft, Dank je, Sorry, Goedemorgen, Alsjeblieft,Dutch,Vocabulary,Easy,Politeness
"What is the Dutch word for ""friend""?", Vriend, Vader, Zus, Broer, Vriend,Dutch,Vocabulary,Easy,Relationships
"Translate ""table"" into Dutch.", Tafel, Stoel, Bed, Bank, Tafel,Dutch,Vocabulary,Easy,Objects
"What does ""dank je wel"" mean in English?", Thank you, Please, Sorry, Hello, Thank you,Dutch,Vocabulary,Easy,Politeness
"How do you say ""how are you?"" in Dutch?", Hoe gaat het?, Wat is dat?, Waarom?, Wanneer?, Hoe gaat het?,Dutch,Vocabulary,Easy,Greetings
"What is the Dutch word for ""school""?", School, Werk, Huis, Markt, School,Dutch,Vocabulary,Easy,Education
"Translate ""water"" into Dutch.", Water, Brood, Melk, Sap, Water,Dutch,Vocabulary,Easy,Objects
"How would you say ""I am happy"" in Dutch?", Ik ben blij, Ik ben verdrietig, Ik ben moe, Ik ben boos, Ik ben blij,Dutch,Vocabulary,Easy,Emotions
"What is the Dutch word for ""car""?", Auto, Fiets, Boot, Trein, Auto,Dutch,Vocabulary,Easy,Transport
"Translate ""thank you"" into Dutch.", Dank je, Alsjeblieft, Sorry, Goedemorgen, Dank je,Dutch,Vocabulary,Easy,Politeness
"What does ""eten"" mean in English?", Food, Sleep, Play, Read, Food,Dutch,Vocabulary,Easy,Food
"How do you say ""good night"" in Dutch?", Goedenacht, Goedemorgen, Tot ziens, Hallo, Goedenacht,Dutch,Vocabulary,Easy,Greetings
"What is the Dutch word for ""dog""?", Hond, Kat, Vogel, Vis, Hond,Dutch,Vocabulary,Easy,Animal
"Translate ""morning"" into Dutch.", Ochtend, Middag, Avond, Nacht, Ochtend,Dutch,Vocabulary,Easy,Time
"How would you say ""I want"" in Dutch?", Ik wil, Ik heb, Ik ben, Ik doe, Ik wil,Dutch,Vocabulary,Easy,Desires
"What is the Dutch word for ""orange""?", Oranje, Rood, Geel, Blauw, Oranje,Dutch,Vocabulary,Easy,Colors
"Translate ""book"" into Dutch.", Boek, Tafel, Stoel, Bed, Boek,Dutch,Vocabulary,Easy,Objects
"What does ""goedemiddag"" mean in English?", Good afternoon, Good morning, Good night, Hello, Good afternoon,Dutch,Vocabulary,Easy,Greetings
"How do you say ""where is the bathroom?"" in Dutch?", Waar is de badkamer?, Hoe heet je?, Wat is dat?, Wanneer ben je jarig?, Waar is de badkamer?,Dutch,Vocabulary,Easy,Travel
"What is the Dutch word for ""banana""?", Banaan, Appel, Peer, Sinaasappel, Banaan,Dutch,Vocabulary,Easy,Food
"Translate ""home"" into Dutch.", Thuis, School, Werk, Markt, Thuis,Dutch,Vocabulary,Easy,Place
"What is the Dutch word for ""watermelon""?", Watermeloen, Appel, Peer, Druif, Watermeloen,Dutch,Vocabulary,Easy,Food
"Translate ""train"" into Dutch.", Trein, Bus, Auto, Boot, Trein,Dutch,Vocabulary,Easy,Transport
"How would you say ""I love you"" in Dutch?", Ik hou van jou, Ik ben boos, Ik wil eten, Ik ben verdrietig, Ik hou van jou,Dutch,Vocabulary,Easy,Emotions
"What is the Dutch word for ""bed""?", Bed, Tafel, Stoel, Bank, Bed,Dutch,Vocabulary,Easy,Home
"Translate ""red"" into Dutch.", Rood, Blauw, Geel, Groen, Rood,Dutch,Vocabulary,Easy,Colors
"What does ""lezen"" mean in English?", To read, To write, To listen, To speak, To read,Dutch,Vocabulary,Easy,Actions
"How do you say ""good evening"" in Dutch?", Goedenavond, Goedemiddag, Goedenacht, Hallo, Goedenavond,Dutch,Vocabulary,Easy,Greetings
"What is the Dutch word for ""flower""?", Bloem, Boom, Plant, Gras, Bloem,Dutch,Vocabulary,Easy,Nature
"Translate ""I am hungry"" into Dutch.", Ik heb honger, Ik ben moe, Ik wil slapen, Ik ben verdrietig, Ik heb honger,Dutch,Vocabulary,Easy,Food
"What is the Dutch word for ""sun""?", Zon, Maan, Ster, Aarde, Zon,Dutch,Vocabulary,Easy,Weather
"Translate ""cat"" into Dutch.", Kat, Hond, Vogel, Vis, Kat,Dutch,Vocabulary,Easy,Animal
"How would you say ""excuse me"" in Dutch?", Excuseer me, Hallo, Alsjeblieft, Bedankt, Excuseer me,Dutch,Vocabulary,Easy,Politeness
"What is the Dutch word for ""happy""?", Blij, Verdrietig, Boos, Moe, Blij,Dutch,Vocabulary,Easy,Emotions
"Translate ""tree"" into Dutch.", Boom, Huis, Auto, Fiets, Boom,Dutch,Vocabulary,Easy,Nature
"What does ""eten"" mean in English?", To eat, To drink, To sleep, To run, To eat,Dutch,Vocabulary,Easy,Food
"How do you say ""please"" in Dutch?", Alsjeblieft, Dank je, Sorry, Hallo, Alsjeblieft,Dutch,Vocabulary,Easy,Politeness
"What is the Dutch word for ""weekend""?", Weekend, Weekdag, Vakantie, Feestdag, Weekend,Dutch,Vocabulary,Easy,Time
"Translate ""to drink"" into Dutch.", Drinken, Eten, Slapen, Lezen, Drinken,Dutch,Vocabulary,Easy,Actions
"What does ""fiets"" mean in English?", Bicycle, Car, Bus, Train, Bicycle,Dutch,Vocabulary,Easy,Transport
"How would you say ""I need help"" in Dutch?", Ik heb hulp nodig, Ik ben moe, Ik wil eten, Ik ben verdrietig, Ik heb hulp nodig,Dutch,Vocabulary,Easy,Assistance
"What is the Dutch word for ""teacher""?", Leraar, Dokter, Politieagent, Bankier, Leraar,Dutch,Vocabulary,Easy,Profession
"Translate ""school"" into Dutch.", School, Huis, Markt, Straat, School,Dutch,Vocabulary,Easy,Education
"What is the Dutch word for ""bird""?", Vogel, Kat, Hond, Vis, Vogel,Dutch,Vocabulary,Easy,Animal
"Translate ""to run"" into Dutch.", Rennen, Lopen, Springen, Fietsen, Rennen,Dutch,Vocabulary,Easy,Actions
"How do you say ""goodbye"" in Dutch?", Tot ziens, Hallo, Dag, Goedemorgen, Tot ziens,Dutch,Vocabulary,Easy,Greetings
"What does ""boek"" mean in English?", Book, Table, Chair, Bed, Book,Dutch,Vocabulary,Easy,Objects
"How would you say ""I am cold"" in Dutch?", Ik heb het koud, Ik ben warm, Ik ben moe, Ik wil eten, Ik heb het koud,Dutch,Vocabulary,Easy,Emotions
"What is the Dutch word for ""rabbit""?", Konijn, Hond, Kat, Vogel, Konijn,Dutch,Vocabulary,Easy,Animal
"Translate ""orange"" into Dutch.", Oranje, Rood, Groen, Blauw, Oranje,Dutch,Vocabulary,Easy,Colors
"What does ""eten"" mean in English?", To eat, To drink, To sleep, To run, To eat,Dutch,Vocabulary,Easy,Food
"How do you say ""please"" in Dutch?", Alsjeblieft, Dank je, Sorry, Hallo, Alsjeblieft,Dutch,Vocabulary,Easy,Politeness
"What is the Dutch word for ""summer""?", Zomer, Winter, Herfst, Lente, Zomer,Dutch,Vocabulary,Easy,Seasons
"Translate ""to read"" into Dutch.", Lezen, Schrijven, Luisteren, Spreken, Lezen,Dutch,Vocabulary,Easy,Actions
"What does ""eten"" mean in English?", To eat, To drink, To sleep, To run, To eat,Dutch,Vocabulary,Easy,Food
"How would you say ""I need help"" in Dutch?", Ik heb hulp nodig, Ik ben moe, Ik wil eten, Ik ben verdrietig, Ik heb hulp nodig,Dutch,Vocabulary,Easy,Assistance
